Access,"Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,"2016/03/20 05:45:07.381","2016/03/20 07:17:57.381",5570
2,"2016/03/20 07:22:01.883","2016/03/20 08:54:51.883",5570
3,"2016/03/20 08:57:41.003","2016/03/20 10:30:31.003",5570
4,"2016/03/20 10:33:06.106","2016/03/20 12:05:56.106",5570
5,"2016/03/20 12:09:16.751","2016/03/20 13:42:06.751",5570
6,"2016/03/20 13:47:44.689","2016/03/20 15:20:34.689",5570
7,"2016/03/20 15:29:09.929","2016/03/20 17:01:59.929",5570
8,"2016/03/20 17:09:28.449","2016/03/20 18:42:18.449",5570
9,"2016/03/20 18:46:54.510","2016/03/20 20:19:44.510",5570
10,"2016/03/20 20:22:46.235","2016/03/20 21:55:36.235",5570
11,"2016/03/20 21:58:10.674","2016/03/20 23:31:00.674",5570
12,"2016/03/20 23:34:05.030","2016/03/21 01:06:55.030",5570
13,"2016/03/21 01:11:51.639","2016/03/21 02:44:41.639",5570
14,"2016/03/21 02:52:45.240","2016/03/21 04:25:35.240",5570
15,"2016/03/21 04:33:37.444","2016/03/21 06:06:27.444",5570
16,"2016/03/21 06:11:35.971","2016/03/21 07:44:25.971",5570
17,"2016/03/21 07:47:42.011","2016/03/21 09:20:32.011",5570
18,"2016/03/21 09:23:07.365","2016/03/21 10:55:57.365",5570
19,"2016/03/21 10:58:48.009","2016/03/21 12:31:38.009",5570
20,"2016/03/21 12:35:57.015","2016/03/21 14:08:47.015",5570
21,"2016/03/21 14:16:08.752","2016/03/21 15:48:58.752",5570
22,"2016/03/21 15:57:31.245","2016/03/21 17:30:21.245",5570
23,"2016/03/21 17:36:11.559","2016/03/21 19:09:01.559",5570
24,"2016/03/21 19:12:38.031","2016/03/21 20:45:28.031",5570
25,"2016/03/21 20:48:08.688","2016/03/21 22:20:58.688",5570
26,"2016/03/21 22:23:41.267","2016/03/21 23:56:31.267",5570
27,"2016/03/22 00:00:21.708","2016/03/22 01:33:11.708",5570
28,"2016/03/22 01:39:46.355","2016/03/22 03:12:36.355",5570
29,"2016/03/22 03:21:15.930","2016/03/22 04:54:05.930",5570
30,"2016/03/22 05:00:35.623","2016/03/22 06:33:25.623",5570
31,"2016/03/22 06:37:24.398","2016/03/22 08:10:14.398",5570
32,"2016/03/22 08:13:01.981","2016/03/22 09:45:51.981",5570
33,"2016/03/22 09:48:28.473","2016/03/22 11:21:18.473",5570
34,"2016/03/22 11:24:44.057","2016/03/22 12:57:34.057",5570
35,"2016/03/22 13:03:20.389","2016/03/22 14:36:10.389",5570
36,"2016/03/22 14:44:43.677","2016/03/22 16:17:33.677",5570
37,"2016/03/22 16:24:49.223","2016/03/22 17:57:39.223",5570
38,"2016/03/22 18:02:07.972","2016/03/22 19:34:57.972",5570
39,"2016/03/22 19:37:57.254","2016/03/22 21:10:47.254",5570
