"""Job""","""Start  Time  (UTC)""","""Stop  Time  (UTC)""","""Duraction  (sec) """
3F2,20  mrt  2016  06:29:00,20  mrt  2016  08:12:00,6180
3F2,20  mrt  2016  08:12:00,20  mrt  2016  08:12:00,0
3F3,20  mrt  2016  08:12:00,20  mrt  2016  08:12:00,0
3F3,20  mrt  2016  08:12:00,20  mrt  2016  08:12:00,0
Toulouse,20  mrt  2016  08:12:00,20  mrt  2016  08:12:00,0
Kourou,20  mrt  2016  11:39:00,20  mrt  2016  11:58:00,1140
3F2,20  mrt  2016  11:58:00,20  mrt  2016  11:58:00,0
3F2,20  mrt  2016  11:58:00,20  mrt  2016  11:58:00,0
3F3,20  mrt  2016  11:58:00,20  mrt  2016  11:58:00,0
3F3,20  mrt  2016  11:58:00,20  mrt  2016  11:58:00,0
3F3,20  mrt  2016  11:58:00,20  mrt  2016  11:58:00,0
Kourou,20  mrt  2016  13:16:00,20  mrt  2016  13:32:00,960
3F2,20  mrt  2016  13:32:00,20  mrt  2016  13:32:00,0
3F3,20  mrt  2016  13:32:00,20  mrt  2016  13:32:00,0
3F3,20  mrt  2016  15:29:00,20  mrt  2016  17:12:00,6180
3F2,20  mrt  2016  17:12:00,20  mrt  2016  17:12:00,0
3F2,20  mrt  2016  17:12:00,20  mrt  2016  17:12:00,0
3F3,20  mrt  2016  17:12:00,20  mrt  2016  17:12:00,0
Toulouse,20  mrt  2016  21:55:00,20  mrt  2016  22:07:00,720
UHF,20  mrt  2016  21:55:00,20  mrt  2016  21:59:00,240
3F2,20  mrt  2016  22:07:00,20  mrt  2016  22:07:00,0
3F2,20  mrt  2016  22:07:00,20  mrt  2016  22:07:00,0
3F2,20  mrt  2016  22:07:00,20  mrt  2016  22:07:00,0
3F2,20  mrt  2016  22:07:00,20  mrt  2016  22:07:00,0
3F3,20  mrt  2016  22:07:00,20  mrt  2016  22:07:00,0
3F3,20  mrt  2016  22:07:00,20  mrt  2016  22:07:00,0
3F3,20  mrt  2016  22:07:00,20  mrt  2016  22:07:00,0
Toulouse,20  mrt  2016  23:27:00,20  mrt  2016  23:43:00,960
UHF,20  mrt  2016  23:27:00,20  mrt  2016  23:36:00,540
3F2,20  mrt  2016  23:43:00,20  mrt  2016  23:43:00,0
3F3,20  mrt  2016  23:43:00,20  mrt  2016  23:43:00,0
Kourou,20  mrt  2016  23:43:00,20  mrt  2016  23:43:00,0
UHF,21  mrt  2016  01:01:00,21  mrt  2016  01:11:00,600
3F2,21  mrt  2016  02:36:00,21  mrt  2016  03:39:00,3780
UHF,21  mrt  2016  02:36:00,21  mrt  2016  02:46:00,600
3F2,21  mrt  2016  03:39:00,21  mrt  2016  03:39:00,0
3F3,21  mrt  2016  03:39:00,21  mrt  2016  03:39:00,0
3F3,21  mrt  2016  03:39:00,21  mrt  2016  03:39:00,0
Kourou,21  mrt  2016  03:39:00,21  mrt  2016  03:39:00,0
Toulouse,21  mrt  2016  03:39:00,21  mrt  2016  03:39:00,0
Toulouse,21  mrt  2016  03:39:00,21  mrt  2016  03:39:00,0
Toulouse,21  mrt  2016  04:12:00,21  mrt  2016  04:31:00,1140
UHF,21  mrt  2016  04:12:00,21  mrt  2016  04:20:00,480
3F3,21  mrt  2016  04:31:00,21  mrt  2016  04:31:00,0
Toulouse,21  mrt  2016  05:49:00,21  mrt  2016  06:07:00,1080
UHF,21  mrt  2016  05:49:00,21  mrt  2016  05:52:00,180
3F2,21  mrt  2016  06:07:00,21  mrt  2016  06:07:00,0
3F3,21  mrt  2016  06:07:00,21  mrt  2016  06:07:00,0
3F3,21  mrt  2016  07:48:00,21  mrt  2016  09:31:00,6180
3F2,21  mrt  2016  09:31:00,21  mrt  2016  09:31:00,0
3F2,21  mrt  2016  09:31:00,21  mrt  2016  09:31:00,0
3F2,21  mrt  2016  09:31:00,21  mrt  2016  09:31:00,0
3F3,21  mrt  2016  09:31:00,21  mrt  2016  09:31:00,0
Toulouse,21  mrt  2016  09:31:00,21  mrt  2016  09:31:00,0
Kourou,21  mrt  2016  10:33:00,21  mrt  2016  10:51:00,1080
3F3,21  mrt  2016  10:51:00,21  mrt  2016  10:51:00,0
Kourou,21  mrt  2016  12:07:00,21  mrt  2016  12:27:00,1200
3F2,21  mrt  2016  12:27:00,21  mrt  2016  12:27:00,0
3F3,21  mrt  2016  12:27:00,21  mrt  2016  12:27:00,0
