0,2989
300,2989
300,3403
1140,3403
1140,-2297
2700,-2297
2700,1152
4620,1152
4620,6852
6660,6852
6660,752
8280,752
8280,-2697
8880,-2697
8880,-3111
10140,-3111
10140,2989
12180,2989
12180,-2711
15660,-2711
15660,2989
17640,2989
17640,-2711
21120,-2711
21120,2989
22740,2989
22740,3403
23160,3403
23160,-2297
23940,-2297
23940,9234
24480,9234
24480,-2297
25080,-2297
25080,-2711
26640,-2711
26640,2989
28680,2989
28680,-2711
32160,-2711
32160,2989
34200,2989
34200,-2711
37680,-2711
37680,2989
39660,2989
39660,-2711
43140,-2711
43140,2989
45180,2989
45180,-2711
48660,-2711
48660,2989
50700,2989
50700,-2711
54180,-2711
54180,2989
56220,2989
56220,-2711
59400,-2711
59400,-2297
59700,-2297
59700,3403
60600,3403
60600,14934
60900,14934
60900,17564
61020,17564
61020,6033
61140,6033
61140,3403
61620,3403
61620,2989
61680,2989
61680,-2711
65220,-2711
65220,2989
66420,2989
66420,5619
66960,5619
66960,2989
67140,2989
67140,3403
67200,3403
67200,-2297
69540,-2297
69540,1152
70680,1152
70680,6852
72060,6852
72060,9482
72660,9482
72660,6852
72720,6852
72720,752
75060,752
75060,-2697
75660,-2697
75660,-3111
76200,-3111
76200,2989
77760,2989
77760,5619
78180,5619
78180,-81
78360,-81
78360,-2711
81720,-2711
81720,2989
83520,2989
83520,5619
83700,5619
83700,-81
84000,-81
84000,-2711
87240,-2711
87240,2989
89220,2989
89220,-2711
89340,-2711
89340,-81
89520,-81
89520,-2711
92700,-2711
92700,2989
94740,2989
94740,-2711
98220,-2711
98220,2989
100200,2989
100200,-2711
103740,-2711
103740,2989
105180,2989
105180,3403
105720,3403
105720,-2297
106380,-2297
106380,9234
106860,9234
106860,-2297
107460,-2297
107460,-2711
109260,-2711
109260,2989
110820,2989
110820,3403
111240,3403
111240,-2297
112020,-2297
112020,9234
112620,9234
112620,-2297
113220,-2297
113220,-2711
114780,-2711
114780,2989
116760,2989
116760,-2711
117360,-2711
117360,-2297
119760,-2297
119760,1152
120240,1152
120240,6852
122220,6852
122220,752
125340,752
125340,-2697
125760,-2697
125760,3403
125940,3403
125940,2989
127740,2989
127740,-2711
129600,-2711
